,classification_id,user_id,workflow_id,annotations,subject_ids,original_annotations,most_similar,codes
211,390083375,2003327,20494,elongated,71287143, elongated,elongate,7
212,390083375,2003327,20494,bent,71287143, bent,bent,34
213,390083553,2003327,20494,double,71287221,double,double,35
214,390083553,2003327,20494,compact,71287221, compact,compact,0
215,390083641,2003327,20494,diffuse,71287115,diffuse,diffuse,20
216,390084035,2003327,20494,compact,71287285,compact,compact,0
217,390084035,2003327,20494,elongated,71287285, elongated,elongate,7
218,390084371,2003327,20494,compact,71287005,compact,compact,0
219,390084371,2003327,20494,diffuse,71287005, diffuse,diffuse,20
220,390084524,2003327,20494,double lobe,71287242,double lobe,lobe,36
221,390084524,2003327,20494,compact,71287242, compact,compact,0
222,390084645,2003327,20494,faint,71287069,faint,faint,3
223,390084725,2003327,20494,compact,71287086,compact,compact,0
224,390084725,2003327,20494,single,71287086, single,single,37
225,390084812,2003327,20494,extended,71287225,extended,extend,1
226,390084812,2003327,20494,triple,71287225, triple,double,35
227,390084812,2003327,20494,lobe,71287225, three lobe,lobe,36
228,390084884,2003327,20494,extended,71287106,extended,extend,1
229,390084884,2003327,20494,single,71287106, single,single,37
230,390084884,2003327,20494,compact,71287106, compact,compact,0
231,390084884,2003327,20494,diffuse,71287106, diffuse,diffuse,20
232,390085028,2003327,20494,single,71287035,single,single,37
233,390085028,2003327,20494,elongated,71287035, elongated,elongate,7
234,390085090,2003327,20494,double,71287104,double,double,35
235,390085090,2003327,20494,lobe,71287104, two lobe,lobe,36
236,390085090,2003327,20494,extended,71287104, extended,extend,1
237,390085337,2003327,20494,extended,71287200,extended,extend,1
238,390085337,2003327,20494,lobe,71287200, two lobe,lobe,36
239,390085337,2003327,20494,faint,71287200, faint,faint,3
240,390085382,2003327,20494,extended,71287004,extended,extend,1
241,390085382,2003327,20494,lobe,71287004, two lobe,lobe,36
242,390085382,2003327,20494,double,71287004, double,double,35
243,390085382,2003327,20494,elongated,71287004, elongated,elongate,7
244,390085432,2003327,20494,single,71287275,single,single,37
245,390085432,2003327,20494,elongated,71287275, elongated,elongate,7
246,390085544,2003327,20494,extended,71287037,extended,extend,1
247,390085544,2003327,20494,lobe,71287037, two lobe,lobe,36
248,390085544,2003327,20494,double,71287037, double,double,35
249,390085544,2003327,20494,faint,71287037, faint,faint,3
250,390085625,2003327,20494,single,71287174,single,single,37
251,390085625,2003327,20494,extended,71287174, extended,extend,1
252,390085743,2003327,20494,triple,71287065,triple,double,35
253,390085743,2003327,20494,lobe,71287065, three lobe,lobe,36
254,390085743,2003327,20494,extended,71287065, extended,extend,1
255,390085743,2003327,20494,faint,71287065, faint,faint,3
256,390085791,2003327,20494,single,71287007,single,single,37
257,390085791,2003327,20494,compact,71287007, compact,compact,0
258,390085972,2003327,20494,double,71287063,double,double,35
259,390085972,2003327,20494,lobe,71287063, two lobe,lobe,36
260,390085972,2003327,20494,extended,71287063, extended,extend,1
261,390085972,2003327,20494,faint,71287063, faint,faint,3
262,390086023,2003327,20494,single,71287024,single,single,37
263,390086023,2003327,20494,compact,71287024, compact,compact,0
264,390086145,2003327,20494,triple,71287193,triple,double,35
265,390086145,2003327,20494,lobe,71287193, three lobe,lobe,36
266,390086145,2003327,20494,extended,71287193, extended,extend,1
267,390086145,2003327,20494,elongated,71287193, elongated,elongate,7
268,390086145,2003327,20494,bent,71287193, bent,bent,34
269,390086213,2003327,20494,triple,71287209,triple,double,35
270,390086213,2003327,20494,lobe,71287209, three lobe,lobe,36
271,390086213,2003327,20494,extended,71287209, extended,extend,1
272,390086213,2003327,20494,faint,71287209, faint,faint,3
273,390086297,2003327,20494,faint,71287119,faint,faint,3
274,390086297,2003327,20494,single,71287119, single,single,37
275,390086297,2003327,20494,elongated,71287119, elongated,elongate,7
276,390086383,2003327,20494,single,71287249,single,single,37
277,390086383,2003327,20494,elongated,71287249, elongated,elongate,7
278,390086744,2003327,20494,lobe,71287087,two lobe,lobe,36
279,390086744,2003327,20494,double,71287087, double,double,35
280,390086744,2003327,20494,faint,71287087, faint,faint,3
281,390086782,2003327,20494,single,71287273,single,single,37
282,390086782,2003327,20494,compact,71287273, compact,compact,0
283,390086906,2003327,20494,single,71287178,single,single,37
284,390086906,2003327,20494,extended,71287178, extended,extend,1
285,390086906,2003327,20494,diffuse,71287178, diffuse,diffuse,20
286,390087190,2003327,20494,double,71287081,double,double,35
287,390087190,2003327,20494,lobe,71287081, two lobe,lobe,36
288,390087190,2003327,20494,extended,71287081, extended,extend,1
289,390087190,2003327,20494,elongated,71287081, elongated,elongate,7
290,390087231,2003327,20494,extended,71287133,extended,extend,1
291,390087231,2003327,20494,elongated,71287133, elongated,elongate,7
292,390087231,2003327,20494,diffuse,71287133, diffuse,diffuse,20
293,390087314,2003327,20494,single,71287231,single,single,37
294,390087314,2003327,20494,extended,71287231, extended,extend,1
295,390087314,2003327,20494,elongated,71287231, elongated,elongate,7
296,390087369,2003327,20494,single,71287256,single,single,37
297,390087369,2003327,20494,elongated,71287256, elongated,elongate,7
298,390087369,2003327,20494,bent,71287256, bent,bent,34
299,390087400,2003327,20494,single,71287148,single,single,37
300,390087400,2003327,20494,compact,71287148, compact,compact,0
301,390087491,2003327,20494,single,71287255,single,single,37
302,390087491,2003327,20494,elongated,71287255, elongated,elongate,7
303,390087532,2003327,20494,single,71287206,single,single,37
304,390087532,2003327,20494,elongated,71287206, elongated,elongate,7
305,390087571,2003327,20494,single,71287057,single,single,37
306,390087571,2003327,20494,faint,71287057, faint,faint,3
307,390087571,2003327,20494,amorphous,71287057, amorphous,amorphous,38
308,390087703,2003327,20494,faint,71287140,faint,faint,3
309,390087941,2003327,20494,single,71287079,single,single,37
310,390087941,2003327,20494,elongated,71287079, elongated,elongate,7
311,390088069,2003327,20494,single,71287041,single,single,37
312,390088069,2003327,20494,extended,71287041, extended,extend,1
313,390088069,2003327,20494,bent,71287041, bent,bent,34
314,390088537,2003327,20494,single,71287296,single,single,37
315,390088537,2003327,20494,elongated,71287296, elongated,elongate,7
316,390088717,2003327,20494,double,71287268,double,double,35
317,390088717,2003327,20494,lobe,71287268, two lobe,lobe,36
318,390088717,2003327,20494,extended,71287268, extended,extend,1
319,390088717,2003327,20494,diffuse,71287268, diffuse,diffuse,20
320,390088757,2003327,20494,single,71287182,single,single,37
321,390088757,2003327,20494,elongated,71287182, elongated,elongate,7
322,390088757,2003327,20494,faint,71287182, faint,faint,3
323,390088795,2003327,20494,single,71287204,single,single,37
324,390088795,2003327,20494,elongated,71287204, elongated,elongate,7
325,390088795,2003327,20494,diffuse,71287204, diffuse,diffuse,20
326,390088825,2003327,20494,single,71287180,single,single,37
327,390088825,2003327,20494,faint,71287180, faint,faint,3
328,390088853,2003327,20494,single,71287261,single,single,37
329,390088853,2003327,20494,elongated,71287261, elongated,elongate,7
330,390088853,2003327,20494,amorphous,71287261, amorphous,amorphous,38
331,390088942,2003327,20494,triple,71287105,triple,double,35
332,390088942,2003327,20494,lobe,71287105, three lobe,lobe,36
333,390088942,2003327,20494,extended,71287105, extended,extend,1
334,390088942,2003327,20494,elongated,71287105, elongated,elongate,7
335,390088942,2003327,20494,diffuse,71287105, diffuse,diffuse,20
336,390089006,2003327,20494,double,71287066,double,double,35
337,390089006,2003327,20494,lobe,71287066, two lobe,lobe,36
338,390089006,2003327,20494,compact,71287066, compact,compact,0
339,390089006,2003327,20494,elongated,71287066, elongated,elongate,7
340,390089039,2003327,20494,single,71287094,single,single,37
341,390089039,2003327,20494,compact,71287094, compact,compact,0
342,390089039,2003327,20494,faint,71287094, faint,faint,3
343,390089073,2003327,20494,single,71287021,single,single,37
344,390089073,2003327,20494,compact,71287021, compact,compact,0
345,390089073,2003327,20494,elongated,71287021, elongated,elongate,7
346,390089135,2003327,20494,single,71287274,single,single,37
347,390089135,2003327,20494,compact,71287274, compact,compact,0
348,390089135,2003327,20494,extended,71287274, extended,extend,1
349,390089155,2003327,20494,single,71287159,single,single,37
350,390089155,2003327,20494,compact,71287159, compact,compact,0
351,390089174,2003327,20494,single,71287129,single,single,37
352,390089174,2003327,20494,faint,71287129, faint,faint,3
353,390089194,2003327,20494,single,71287243,single,single,37
354,390089194,2003327,20494,compact,71287243, compact,compact,0
355,390089194,2003327,20494,faint,71287243, faint,faint,3
356,390089230,2003327,20494,single,71287027,single,single,37
357,390089230,2003327,20494,extended,71287027, extended,extend,1
358,390089230,2003327,20494,diffuse,71287027, diffuse,diffuse,20
359,390089230,2003327,20494,faint,71287027, faint,faint,3
360,390089304,2003327,20494,double,71287020,double,double,35
361,390089304,2003327,20494,lobe,71287020, two lobe,lobe,36
362,390089304,2003327,20494,extended,71287020, extended,extend,1
363,390089304,2003327,20494,diffuse,71287020, diffuse,diffuse,20
364,390089362,2003327,20494,double,71287055,double,double,35
365,390089362,2003327,20494,lobe,71287055, two lobe,lobe,36
366,390089362,2003327,20494,extended,71287055, extended,extend,1
367,390089362,2003327,20494,faint,71287055, faint,faint,3
368,390089434,2003327,20494,double,71287001,double,double,35
369,390089434,2003327,20494,lobe,71287001, two lobe,lobe,36
370,390089434,2003327,20494,extended,71287001, extended,extend,1
371,390089434,2003327,20494,elongated,71287001, elongated,elongate,7
372,390089434,2003327,20494,diffuse,71287001, diffuse,diffuse,20
373,390089434,2003327,20494,amorphous,71287001, amorphous,amorphous,38
374,390089507,2003327,20494,single,71287269,single,single,37
375,390089507,2003327,20494,elongated,71287269, elongated,elongate,7
376,390089507,2003327,20494,extended,71287269, extended,extend,1
377,390089589,2003327,20494,single,71287110,single,single,37
378,390089589,2003327,20494,extended,71287110, extended,extend,1
379,390089589,2003327,20494,missing data,71287110, missing data,datum,39
380,390089838,2003327,20494,double,71287190,double,double,35
381,390089838,2003327,20494,lobe,71287190, two lobe,lobe,36
382,390089838,2003327,20494,extended,71287190, extended,extend,1
383,390089838,2003327,20494,elongated,71287190, elongated,elongate,7
384,390089870,2003327,20494,single,71287127,single,single,37
385,390089870,2003327,20494,compact,71287127, compact,compact,0
386,390089897,2003327,20494,single,71287245,single,single,37
387,390089897,2003327,20494,compact,71287245, compact,compact,0
388,390089897,2003327,20494,faint,71287245, faint,faint,3
389,390090185,2003327,20494,single,71287072,single,single,37
390,390090185,2003327,20494,elongated,71287072, elongated,elongate,7
391,390090185,2003327,20494,faint,71287072, faint,faint,3
392,390090221,2003327,20494,double,71287263,double,double,35
393,390090221,2003327,20494,lobe,71287263, two lobe,lobe,36
394,390090221,2003327,20494,extended,71287263, extended,extend,1
395,390090221,2003327,20494,elongated,71287263, elongated,elongate,7
396,390090289,2003327,20494,single,71287030,single,single,37
397,390090289,2003327,20494,extended,71287030, extended,extend,1
398,390090289,2003327,20494,faint,71287030, faint,faint,3
399,390090335,2003327,20494,single,71287040,single,single,37
400,390090335,2003327,20494,extended,71287040, extended,extend,1
401,390090335,2003327,20494,amorphous,71287040, amorphous,amorphous,38
402,390090501,2003327,20494,double,71287029,double,double,35
403,390090501,2003327,20494,lobe,71287029, two lobe,lobe,36
404,390090501,2003327,20494,extended,71287029, extended,extend,1
405,390090501,2003327,20494,elongated,71287029, elongated,elongate,7
406,390090619,2003327,20494,double,71287164,double,double,35
407,390090619,2003327,20494,lobe,71287164, two lobe,lobe,36
408,390090619,2003327,20494,extended,71287164, extended,extend,1
409,390090619,2003327,20494,compact,71287164, compact,compact,0
410,390090619,2003327,20494,faint,71287164, faint,faint,3
411,390090741,2003327,20494,triple,71287090,triple,double,35
412,390090741,2003327,20494,lobe,71287090, three lobe,lobe,36
413,390090741,2003327,20494,extended,71287090, extended,extend,1
414,390090741,2003327,20494,elongated,71287090, elongated,elongate,7
415,390090741,2003327,20494,compact,71287090, compact,compact,0
416,390090838,2003327,20494,single,71287262,single,single,37
417,390090838,2003327,20494,elongated,71287262, elongated,elongate,7
418,390090908,2003327,20494,triple,71287014,triple,double,35
419,390090908,2003327,20494,lobe,71287014, three lobe,lobe,36
420,390090908,2003327,20494,extended,71287014, extended,extend,1
421,390090908,2003327,20494,faint,71287014, faint,faint,3
422,390091022,2003327,20494,single,71287211,single,single,37
423,390091022,2003327,20494,elongated,71287211, elongated,elongate,7
424,390091022,2003327,20494,extended,71287211, extended,extend,1
425,390091022,2003327,20494,diffuse,71287211, diffuse,diffuse,20
426,390091132,2003327,20494,triple,71287093,triple,double,35
427,390091132,2003327,20494,lobe,71287093, three lobe,lobe,36
428,390091132,2003327,20494,extended,71287093, extended,extend,1
429,390091132,2003327,20494,elongated,71287093, elongated,elongate,7
430,390091132,2003327,20494,compact,71287093, compact,compact,0
431,390091132,2003327,20494,missing data,71287093, missing data,datum,39
432,390091214,2003327,20494,single,71287282,single,single,37
433,390091214,2003327,20494,elongated,71287282, elongated,elongate,7
434,390091214,2003327,20494,faint,71287282, faint,faint,3
435,390091292,2003327,20494,triple,71287284,triple,double,35
436,390091292,2003327,20494,lobe,71287284, three lobe,lobe,36
437,390091292,2003327,20494,extended,71287284, extended,extend,1
438,390091292,2003327,20494,elongated,71287284, elongated,elongate,7
439,390091292,2003327,20494,faint,71287284, faint,faint,3
440,390091292,2003327,20494,amorphous,71287284, amorphous,amorphous,38
441,390091349,2003327,20494,double,71287099,double,double,35
442,390091349,2003327,20494,lobe,71287099, two lobe,lobe,36
443,390091349,2003327,20494,elongated,71287099, elongated,elongate,7
444,390091349,2003327,20494,faint,71287099, faint,faint,3
445,390091377,2003327,20494,single,71287026,single,single,37
446,390091377,2003327,20494,faint,71287026, faint,faint,3
447,390091432,2003327,20494,single,71287205,single,single,37
448,390091432,2003327,20494,elongated,71287205, elongated,elongate,7
449,390091432,2003327,20494,faint,71287205, faint,faint,3
450,390091711,2003327,20494,triple,71287281,triple,double,35
451,390091711,2003327,20494,lobe,71287281, three lobe,lobe,36
452,390091711,2003327,20494,extended,71287281, extended,extend,1
453,390091711,2003327,20494,elongated,71287281, elongated,elongate,7
454,390091711,2003327,20494,continues offscreen,71287281, continues offscreen,offscreen,40
455,390091990,2003327,20494,double,71287161,double,double,35
456,390091990,2003327,20494,lobe,71287161, two lobe,lobe,36
457,390091990,2003327,20494,extended,71287161, extended,extend,1
458,390091990,2003327,20494,amorphous,71287161, amorphous,amorphous,38
459,390092024,2003327,20494,double,71287042,double,double,35
460,390092024,2003327,20494,lobe,71287042, two lobe,lobe,36
461,390092024,2003327,20494,extended,71287042, extended,extend,1
462,390092024,2003327,20494,continues offscreen,71287042, continues offscreen,offscreen,40
463,390092051,2003327,20494,single,71287232,single,single,37
464,390092051,2003327,20494,faint,71287232, faint,faint,3
465,390092097,2003327,20494,single,71287150,single,single,37
466,390092097,2003327,20494,faint,71287150, faint,faint,3
467,390092115,2003327,20494,single,71287260,single,single,37
468,390092115,2003327,20494,elongated,71287260, elongated,elongate,7
469,390092115,2003327,20494,faint,71287260, faint,faint,3
470,390092248,2003327,20494,single,71287177,single,single,37
471,390092248,2003327,20494,elongated,71287177, elongated,elongate,7
