,classification_id,user_id,workflow_id,annotations,subject_ids
200,390092908,2003327,20494,"single, elongated",71287060
201,390092958,2003327,20494,"triple, three lobe, extended, elongated, bent, faint",71287246
202,390092977,2003327,20494,"double, two lobe, extended, compact",71287051
203,390093034,2003327,20494,"single, elongated, extended, diffuse",71287254
204,390093053,2003327,20494,"single, compact",71287071
205,390093121,2003327,20494,"double, two lobe, extended, elongated, diffuse",71287142
206,390093143,2003327,20494,"single, compact, faint",71287018
207,390093180,2003327,20494,"single, elongated",71287103
208,390093262,2003327,20494,"single, extended, elongated, diffuse",71287138
209,388731325,2394958,20494,"faint, slightly extended, noisy",71287293
210,388731408,2394958,20494,"Compact, isolated, clear counterpart",71287262
211,388731529,2394958,20494,"bright, slightly extended, spiral galaxy counterpart",71287072
212,388731665,2394958,20494,"extended, tail, possible lobes associated",71287062
213,388731753,2394958,20494,"bright, complex, extended, no counterpart",71287083
214,388731968,2394958,20494,"bright, lobe of adjacent source, jets, lobes, no counterpart",71287230
215,388732047,2394958,20494,"lobe of adjacent source, complex, extended",71287228
216,388732082,2394958,20494,"compact, isolated, no counterpart",71287207
217,388732125,2394958,20494,"lobe of adjacent source, complex, extended",71287118
218,388732228,2394958,20494,"possible lobe, compact, bright neighbour, no counterpart",71287169
219,388732325,2394958,20494,"bright, isolated, extended, clear counterpart",71287077
220,388732359,2394958,20494,"compact, isolated, clear counterpart",71287150
221,388732440,2394958,20494,"faint, compact, isolated, clear counterpart, star or quasar",71287069
222,388732487,2394958,20494,"lobe of adjacent source, complex, extended",71287146
223,388732536,2394958,20494,lobe or jet of adjacent source,71287274
224,388732599,2394958,20494,"jet of adjacent source, complex, extended",71287143
225,388732715,2394958,20494,"lobe, adjacent to companion brighter lobe, no counterpart",71287203
226,388732786,2394958,20494,"lobe or jet of adjacent source, faint, extended",71287211
227,388732844,2394958,20494,"bright, extended, no counterpart",71287025
228,388732916,2394958,20494,"faint, noisy, isolated, compact, clear counterpart",71287183
229,388733037,2394958,20494,"faint, noisy, compact, possible association with neighbouring component",71287099
230,388733107,2394958,20494,"faint, slightly extended, isolated, clear counterpart",71287012
231,388733172,2394958,20494,"bright, slightly extended, clear counterpart",71287285
232,388733239,2394958,20494,"lobe of adjacent source, extended, complex",71287246
233,388733385,2394958,20494,"compact, no counterpart, possible association with neighbouring component",71287081
234,388733451,2394958,20494,"faint, noisy, slightly extended, no counterpart",71287210
235,388733624,2394958,20494,"isolated, core, two jets at right angles, clear counterpart",71287194
236,388733690,2394958,20494,"isolated, bright, complex, clear counterpart",71287024
237,388733748,2394958,20494,"faint, compact, isolated, clear counterpart",71287018
238,388733832,2394958,20494,"faint, slightly extended, isolated, ambiguous counterpart",71287289
239,388733880,2394958,20494,"bright, extended, no counterpart",71287139
240,388733961,2394958,20494,"complex, extended, possible lobe of adjacent source, possible counterpart",71287134
241,388734059,2394958,20494,"double lobe source, complex, extended, clear counterpart",71287029
242,388734103,2394958,20494,"isolated, extended, possible counterpart",71287206
243,388734160,2394958,20494,"complex, extended, possible lobe of adjacent source, no counterpart",71287214
244,388734196,2394958,20494,"isolated, extended, no counterpart",71287066
245,388734330,2394958,20494,"double lobe system, clear counterpart",71287286
246,388734436,2394958,20494,"lobe of double lobe system, extended, no counterpart",71287257
247,388734542,2394958,20494,"lobe of double lobe system, extended, clear counterpart",71287102
248,388734656,2394958,20494,"bright, isolated, extended, no counterpart",71287096
249,388734755,2394958,20494,"jet or lobe of neighbour component, extended, complex, ambiguous counterpart",71287191
250,388734918,2394958,20494,"possible lobe of neighbour component, complex, extended, no counterpart",71287080
251,388734984,2394958,20494,"compact, isolated, clear counterpart",71287007
252,388735134,2394958,20494,"bright, extended, possible jets, faint ambiguous counterpart",71287219
253,388735231,2394958,20494,"bright, extended, complex, jet of adjacent neighbour component, ambiguous counterpart",71287138
254,388735404,2394958,20494,"bright, two jets bent sharply, complex, extended, no counterpart",71287187
255,388735761,2394958,20494,"faint, noisy, possible jet of neighbour component, no counterpart",71287037
256,388735910,2394958,20494,"faint, noisy, extended, complex, clear counterpart, core of bright extended spiral galaxy",71287089
257,388735972,2394958,20494,"faint, noisy, slightly extended, no counterpart",71287283
258,388736020,2394958,20494,"isolated, compact, no counterpart",71287016
259,388736152,2394958,20494,"bright, complex, extended, possible lobe of neighbour component, no counterpart",71287161
260,388736288,2394958,20494,"lobe of neighbour component, bright, extended, complex, no counterpart",71287001
261,388736346,2394958,20494,"isolated, slightly extended, no counterpart",71287167
262,388736378,2394958,20494,"faint, compact, isolated, clear counterpart",71287116
263,388736409,2394958,20494,"compact, isolated, clear counterpart",71287120
264,388736458,2394958,20494,"isolated, slightly extended, clear counterpart",71287130
265,388736794,2394958,20494,"core or lobe, complex, extended, ambiguous counterpart",71287136
266,388736938,2394958,20494,"bright, complex, extended, possible association with neighbour components, no counterpart",71287002
267,388736985,2394958,20494,"compact, isolated, no counterpart",71287153
268,388737098,2394958,20494,"extended, complex, faint, possible association with neighbour component, no counterpart",71287027
269,388737196,2394958,20494,"bright, extended, possible jet, no counterpart",71287250
270,388737242,2394958,20494,"faint, noisy, slightly extended, no counterpart",71287036
271,388737306,2394958,20494,"isolated, slightly extended, no counterpart",71287040
272,388737381,2394958,20494,"extended, possible lobe, possible association with neighbour component, no counterpart",71287111
273,388737484,2394958,20494,"faint, possible lobe, possible association with neighbour component, no counterpart",71287038
274,388737692,2394958,20494,"slightly extended, possible lobe, possible association with neighbour component, no counterpart",71287030
275,388737693,2394958,20494,"bright, extended, possible association with neighbour component, no counterpart",71287190
276,388737736,2394958,20494,"slightly extended, isolated, no counterpart",71287256
277,388737828,2394958,20494,"isolated, slightly extended, ambiguous counterpart, possible interacting galaxy pair",71287165
278,388737952,2394958,20494,"lobe, extended, complex, lobe of adjacent component, no counterpart",71287193
